"","Suburb","%2015-2016","%2006-2016","Growth PA","year","price","type"
"1","ABBOTSFORD","28","165","10.2","2006","445500","house"
"2","ABERFELDIE","8","117","8.0","2006","600000","house"
"3","AIREYS INLET","4","61","4.9","2006","440000","house"
"4","AIRPORT WEST","16","130","8.7","2006","320000","house"
"5","ALBANVALE","27","108","7.6","2006","210000","house"
"6","ALBERT PARK","4","129","8.6","2006","775000","house"
"7","ALBION","22","150","9.6","2006","235000","house"
"8","ALEXANDRA","-4","45","3.8","2006","190000","house"
"9","ALFREDTON","11","24","2.1","2006","307500","house"
"10","ALLANSFORD","6","15","1.4","2006","240000","house"
"11","ALPHINGTON","21","128","8.6","2006","687500","house"
"12","ALTONA","14","123","8.3","2006","370000","house"
"13","ALTONA EAST","19","152","9.7","2006","310000","house"
"14","ALTONA MEADOWS","13","94","6.9","2006","255000","house"
"15","ALTONA NORTH","12","149","9.6","2006","290000","house"
"16","ANGLESEA","3","58","4.7","2006","415000","house"
"17","APOLLO BAY","13","37","3.2","2006","360000","house"
"18","ARARAT","-3","42","3.6","2006","144000","house"
"19","ARDEER","36","143","9.3","2006","214500","house"
"20","ARMADALE","8","156","9.8","2006","911000","house"
"21","ARMSTRONG CREEK","7","NA","NA","2006","NA","house"
"22","ASCOT (BENDIGO)","3","40","3.4","2006","263000","house"
"23","ASCOT VALE","14","110","7.7","2006","480000","house"
"24","ASHBURTON","9","160","10.0","2006","600000","house"
"25","ASHWOOD","7","183","11.0","2006","434000","house"
"26","ASPENDALE","9","116","8.0","2006","400000","house"
"27","ASPENDALE GARDENS","8","101","7.2","2006","386000","house"
"28","ATTWOOD","6","82","6.2","2006","359500","house"
"29","AVENEL","-1","28","2.5","2006","190000","house"
"30","AVOCA","-10","27","2.4","2006","130000","house"
"31","AVONDALE HEIGHTS","18","133","8.8","2006","330000","house"
"32","AVONSLEIGH","26","86","6.4","2006","270000","house"
"33","BACCHUS MARSH","6","60","4.8","2006","235000","house"
"34","BADGER CREEK","10","76","5.8","2006","215000","house"
"35","BAIRNSDALE","3","28","2.5","2006","200000","house"
"36","BALACLAVA","16","128","8.6","2006","540000","house"
"37","BALCOMBE","9","110","7.7","2006","453000","house"
"38","BALLAN","3","83","6.2","2006","202500","house"
"39","BALLARAT CENTRAL","10","69","5.4","2006","227500","house"
"40","BALLARAT EAST","7","69","5.4","2006","175000","house"
"41","BALLARAT NORTH","8","63","5.0","2006","208000","house"
"42","BALNARRING","13","138","9.1","2006","281500","house"
"43","BALNARRING BEACH","0","93","6.8","2006","460000","house"
"44","BALWYN","-2","155","9.8","2006","850000","house"
"45","BALWYN NORTH","-4","156","9.8","2006","698500","house"
"46","BANNOCKBURN","-2","29","2.6","2006","296000","house"
"47","BARANDUDA","8","31","2.7","2006","268000","house"
"48","BARNAWARTHA","-20","36","3.1","2006","180000","house"
"49","BARWON HEADS","9","100","7.2","2006","420000","house"
"50","BAXTER","19","94","6.9","2006","207500","house"
"51","BAYSWATER","8","140","9.2","2006","285000","house"
"52","BAYSWATER NORTH","10","121","8.3","2006","285000","house"
"53","BEACONSFIELD","6","65","5.1","2006","360000","house"
"54","BEACONSFIELD UPPER","9","95","6.9","2006","339500","house"
"55","BEAUFORT","16","88","6.5","2006","126000","house"
"56","BEAUMARIS","9","94","6.8","2006","750000","house"
"57","BEECHWORTH","7","31","2.7","2006","265000","house"
"58","BELGRAVE","13","94","6.8","2006","280000","house"
"59","BELGRAVE HEIGHTS","6","86","6.4","2006","336000","house"
"60","BELGRAVE SOUTH","2","59","4.8","2006","355000","house"
"61","BELL PARK","6","60","4.8","2006","226000","house"
"62","BELL POST HILL","4","54","4.4","2006","230000","house"
"63","BELLBRIDGE","16","22","2.0","2006","270000","house"
"64","BELLFIELD (GREATER MELBOURNE)","11","155","9.8","2006","305000","house"
"65","BELMONT","9","75","5.8","2006","245000","house"
"66","BENALLA","3","14","1.3","2006","202500","house"
"67","BENDIGO","7","74","5.7","2006","229000","house"
"68","BENTLEIGH","12","158","9.9","2006","535000","house"
"69","BENTLEIGH EAST","12","148","9.5","2006","449000","house"
"70","BERWICK","10","92","6.7","2006","308000","house"
"71","BEVERIDGE","7","0","NA","2006","NA","house"
"72","BIRCHIP","-55","-27","-3.1","2006","75000","house"
"73","BIRREGURRA","14","95","6.9","2006","176500","house"
"74","BITTERN","21","87","6.5","2006","247500","house"
"75","BLACK HILL","5","51","4.2","2006","204000","house"
"76","BLACK ROCK","13","88","6.5","2006","927500","house"
"77","BLACKBURN","3","172","10.5","2006","455500","house"
"78","BLACKBURN NORTH","12","169","10.4","2006","385000","house"
"79","BLACKBURN SOUTH","14","162","10.1","2006","401000","house"
"80","BLACKWOOD","12","69","5.4","2006","172000","house"
"81","BLAIRGOWRIE","23","93","6.8","2006","395000","house"
"82","BLIND BIGHT","10","87","6.5","2006","235000","house"
"83","BONBEACH","10","83","6.2","2006","421500","house"
"84","BONNIE DOON","0","81","6.1","2006","160000","house"
"85","BOOLARRA","-5","36","3.1","2006","149500","house"
"86","BOORT","51","54","4.4","2006","127000","house"
"87","BORONIA","7","124","8.4","2006","284000","house"
"88","BOTANIC RIDGE","6","63","5.0","2006","367000","house"
"89","BOX HILL","-4","142","9.2","2006","582500","house"
"90","BOX HILL NORTH","6","171","10.5","2006","415000","house"
"91","BOX HILL SOUTH","8","182","10.9","2006","444000","house"
"92","BRAYBROOK","14","178","10.8","2006","226000","house"
"93","BREAKWATER","4","55","4.5","2006","178500","house"
"94","BRIAGOLONG","23","88","6.5","2006","141000","house"
"95","BRIAR HILL","6","96","6.9","2006","369000","house"
"96","BRIGHT","12","72","5.6","2006","255000","house"
"97","BRIGHTON","18","115","8.0","2006","1260000","house"
"98","BRIGHTON EAST","9","124","8.4","2006","780000","house"
"99","BROADFORD","7","44","3.7","2006","199000","house"
"100","BROADMEADOWS","12","101","7.2","2006","206000","house"
"101","BROOKFIELD","6","38","3.3","2006","260000","house"
"102","BROOKLYN","14","154","9.8","2006","270000","house"
"103","BROWN HILL","22","54","4.4","2006","215000","house"
"104","BRUNSWICK","13","128","8.6","2006","427000","house"
"105","BRUNSWICK EAST","9","132","8.8","2006","420000","house"
"106","BRUNSWICK WEST","27","161","10.1","2006","420000","house"
"107","BULLEEN","3","137","9.0","2006","476000","house"
"108","BUNDALONG","7","38","3.3","2006","290000","house"
"109","BUNDOORA","8","103","7.3","2006","320000","house"
"110","BUNINYONG","3","47","3.9","2006","252500","house"
"111","BUNYIP","-14","41","3.5","2006","255000","house"
"112","BURNLEY","22","160","10.0","2006","467500","house"
"113","BURNSIDE","24","84","6.3","2006","280000","house"
"114","BURNSIDE HEIGHTS","13","83","6.2","2006","285000","house"
"115","BURWOOD","0","148","9.5","2006","480000","house"
"116","BURWOOD EAST","3","160","10.0","2006","391000","house"
"117","BUXTON","-9","18","1.7","2006","241500","house"
"118","CAIRNLEA","12","80","6.1","2006","335000","house"
"119","CALIFORNIA GULLY","-1","43","3.7","2006","178000","house"
"120","CAMBERWELL","7","141","9.2","2006","852500","house"
"121","CAMPBELLFIELD","12","72","5.6","2006","243500","house"
"122","CAMPBELLS CREEK","10","76","5.8","2006","242500","house"
"123","CAMPERDOWN","0","31","2.7","2006","166000","house"
"124","CANADIAN","0","77","5.9","2006","195000","house"
"125","CANTERBURY","3","115","8.0","2006","1217500","house"
"126","CAPE PATERSON","2","29","2.6","2006","277000","house"
"127","CAPE SCHANCK","2","55","4.5","2006","431000","house"
"128","CAPEL SOUND","14","91","6.7","2006","233000","house"
"129","CARDIGAN","2","NA","NA","2006","NA","house"
"130","CARDIGAN VILLAGE","7","117","8.0","2006","206000","house"
"131","CARISBROOK","-2","26","2.4","2006","155000","house"
"132","CARLTON","24","197","11.5","2006","510000","house"
"133","CARLTON NORTH","12","121","8.3","2006","597000","house"
"134","CARNEGIE","3","131","8.8","2006","575000","house"
"135","CAROLINE SPRINGS","10","80","6.0","2006","295000","house"
"136","CARRUM","22","131","8.7","2006","322500","house"
"137","CARRUM DOWNS","16","79","6.0","2006","240500","house"
"138","CASTERTON","26","19","1.8","2006","106000","house"
"139","CASTLEMAINE","7","81","6.1","2006","225000","house"
"140","CAULFIELD","3","134","8.9","2006","725000","house"
"141","CAULFIELD EAST","13","150","9.6","2006","526500","house"
"142","CAULFIELD NORTH","16","137","9.0","2006","920000","house"
"143","CAULFIELD SOUTH","9","132","8.8","2006","650000","house"
"144","CHADSTONE","10","151","9.6","2006","405000","house"
"145","CHARLTON","-11","75","5.7","2006","91500","house"
"146","CHELSEA","18","142","9.3","2006","355000","house"
"147","CHELSEA HEIGHTS","9","113","7.8","2006","305500","house"
"148","CHELTENHAM","14","125","8.5","2006","440000","house"
"149","CHELTENHAM EAST","13","117","8.1","2006","400500","house"
"150","CHELTENHAM NORTH","20","140","9.1","2006","376000","house"
"151","CHEWTON","8","129","8.6","2006","175000","house"
"152","CHILTERN","14","28","2.5","2006","195000","house"
"153","CHIRNSIDE PARK","14","97","7.0","2006","320000","house"
"154","CHURCHILL","6","46","3.8","2006","125000","house"
"155","CLARINDA","10","127","8.6","2006","330000","house"
"156","CLAYTON","3","181","10.9","2006","356000","house"
"157","CLAYTON NORTH","3","169","10.4","2006","405000","house"
"158","CLAYTON SOUTH","13","142","9.2","2006","315000","house"
"159","CLIFTON HILL","12","128","8.6","2006","534000","house"
"160","CLIFTON SPRINGS","6","46","3.9","2006","250000","house"
"161","CLUNES","4","86","6.4","2006","137000","house"
"162","CLYDE","11","53","4.4","2006","287500","house"
"163","CLYDE NORTH","11","-12","-1.3","2006","530000","house"
"164","COBDEN","-8","-9","-0.9","2006","181000","house"
"165","COBRAM","12","28","2.5","2006","207000","house"
"166","COBURG","12","129","8.6","2006","380000","house"
"167","COBURG EAST","15","127","8.5","2006","331000","house"
"168","COBURG NORTH","17","152","9.7","2006","310000","house"
"169","COCKATOO","12","73","5.6","2006","249000","house"
"170","COHUNA","-11","11","1.1","2006","144000","house"
"171","COLAC","6","36","3.2","2006","190000","house"
"172","COLDSTREAM","14","89","6.6","2006","265000","house"
"173","COLERAINE","-6","-4","-0.4","2006","93500","house"
"174","COLLINGWOOD","0","110","7.7","2006","436000","house"
"175","CONNEWARRE","11","257","13.6","2006","250000","house"
"176","COOLAROO","12","70","5.4","2006","200000","house"
"177","COONANS HILL","17","135","8.9","2006","370000","house"
"178","CORINELLA","-14","28","2.5","2006","250000","house"
"179","CORIO","4","47","3.9","2006","170000","house"
"180","CORONET BAY","10","48","4.0","2006","179000","house"
"181","CORRYONG","2","11","1.0","2006","148000","house"
"182","COWES","-4","26","2.3","2006","320000","house"
"183","COWES WEST","12","41","3.5","2006","260000","house"
"184","CRAIGIEBURN","9","71","5.5","2006","250000","house"
"185","CRANBOURNE","13","86","6.4","2006","218000","house"
"186","CRANBOURNE EAST","4","72","5.6","2006","265500","house"
"187","CRANBOURNE NORTH","12","99","7.1","2006","230000","house"
"188","CRANBOURNE WEST","17","82","6.2","2006","225000","house"
"189","CREMORNE","-1","128","8.6","2006","445000","house"
"190","CRESWICK","8","57","4.6","2006","181000","house"
"191","CRIB POINT","16","80","6.1","2006","225000","house"
"192","CROYDON","16","137","9.0","2006","295000","house"
"193","CROYDON HILLS","5","100","7.2","2006","365000","house"
"194","CROYDON NORTH","13","127","8.5","2006","349000","house"
"195","CROYDON SOUTH","9","134","8.9","2006","280000","house"
"196","CURLEWIS","6","NA","NA","2006","NA","house"
"197","DALLAS","7","80","6.0","2006","192000","house"
"198","DALYSTON","-1","55","4.4","2006","165000","house"
"199","DANDENONG","12","113","7.9","2006","257000","house"
"200","DANDENONG NORTH","15","120","8.2","2006","250000","house"
"201","DARLEY","-5","57","4.6","2006","230000","house"
"202","DARNUM","-18","90","6.6","2006","150000","house"
"203","DAYLESFORD","1","60","4.8","2006","277500","house"
"204","DEEPDENE","-10","139","9.1","2006","1060000","house"
"205","DEER PARK","13","105","7.4","2006","215000","house"
"206","DELACOMBE","10","42","3.6","2006","225500","house"
"207","DELAHEY","14","90","6.6","2006","240000","house"
"208","DENNINGTON","0","38","3.3","2006","249500","house"
"209","DERRIMUT","13","49","4.0","2006","355000","house"
"210","DIAMOND CREEK","12","88","6.5","2006","345000","house"
"211","DIGGERS REST","8","68","5.3","2006","208000","house"
"212","DIMBOOLA","18","54","4.4","2006","83500","house"
"213","DINGLEY VILLAGE","13","113","7.9","2006","365000","house"
"214","DINNER PLAIN","11","38","3.3","2006","290000","house"
"215","DON VALLEY","30","156","9.9","2006","197500","house"
"216","DONALD","13","23","2.1","2006","115000","house"
"217","DONCASTER","2","169","10.4","2006","475000","house"
"218","DONCASTER EAST","10","168","10.4","2006","455000","house"
"219","DONVALE","1","131","8.7","2006","433000","house"
"220","DOREEN","8","35","3.0","2006","352000","house"
"221","DOVETON","16","131","8.7","2006","175500","house"
"222","DROMANA","5","88","6.5","2006","310000","house"
"223","DROUIN","8","61","4.9","2006","215000","house"
"224","DRUMCONDRA","-1","85","6.4","2006","420000","house"
"225","DRYSDALE","-2","58","4.7","2006","255000","house"
"226","DUNKELD","8","4","0.4","2006","200000","house"
"227","DUNOLLY","8","40","3.4","2006","129500","house"
"228","EAGLE POINT","-20","30","2.7","2006","205500","house"
"229","EAGLEHAWK","-5","37","3.2","2006","195000","house"
"230","EAGLEMONT","9","122","8.3","2006","850000","house"
"231","EAST BAIRNSDALE","5","15","1.4","2006","185000","house"
"232","EAST BENDIGO","1","40","3.4","2006","217500","house"
"233","EAST GEELONG","16","96","7.0","2006","261000","house"
"234","EAST MELBOURNE","31","213","12.1","2006","1150000","house"
"235","EAST WARBURTON","21","88","6.5","2006","196500","house"
"236","EASTWOOD","7","21","1.9","2006","295000","house"
"237","ECHUCA","4","27","2.4","2006","242500","house"
"238","EDENHOPE","25","20","1.8","2006","120000","house"
"239","EDITHVALE","22","140","9.1","2006","390000","house"
"240","EILDON","6","47","3.9","2006","150000","house"
"241","ELLIMINYT","13","64","5.1","2006","219000","house"
"242","ELMORE","8","91","6.7","2006","112500","house"
"243","ELSTERNWICK","1","110","7.7","2006","780000","house"
"244","ELTHAM","9","91","6.7","2006","430000","house"
"245","ELTHAM NORTH","12","113","7.8","2006","400000","house"
"246","ELWOOD","4","113","7.8","2006","800000","house"
"247","EMERALD","10","80","6.1","2006","306500","house"
"248","ENDEAVOUR HILLS","11","106","7.5","2006","267500","house"
"249","EPPING","15","77","5.9","2006","260000","house"
"250","EPSOM","0","33","2.9","2006","256000","house"
"251","ESSENDON","9","144","9.3","2006","545000","house"
"252","ESSENDON NORTH","17","131","8.7","2006","410000","house"
"253","ESSENDON WEST","0","126","8.5","2006","409000","house"
"254","EUMEMMERRING","12","91","6.7","2006","238500","house"
"255","EUREKA","11","41","3.5","2006","195500","house"
"256","EUROA","13","68","5.3","2006","158000","house"
"257","EYNESBURY","14","0","NA","2006","NA","house"
"258","FAIRFIELD","13","142","9.2","2006","518500","house"
"259","FAIRHAVEN","14","61","4.9","2006","635000","house"
"260","FAWKNER","15","127","8.6","2006","257500","house"
"261","FERNTREE GULLY","10","127","8.6","2006","290000","house"
"262","FERNY CREEK","16","132","8.8","2006","310000","house"
"263","FINGAL","-3","243","13.1","2006","243000","house"
"264","FITZROY","14","141","9.2","2006","613000","house"
"265","FITZROY NORTH","9","131","8.8","2006","558000","house"
"266","FIVEWAYS","10","44","3.7","2006","290000","house"
"267","FLEMINGTON","11","130","8.7","2006","400000","house"
"268","FLINDERS","44","72","5.6","2006","705000","house"
"269","FLORA HILL","1","43","3.7","2006","227000","house"
"270","FLOWERDALE","-17","2","0.2","2006","205000","house"
"271","FOOTSCRAY","12","127","8.6","2006","340000","house"
"272","FOREST HILL","5","160","10.0","2006","360000","house"
"273","FOSTER","-3","35","3.1","2006","233000","house"
"274","FRANKSTON","11","92","6.7","2006","246000","house"
"275","FRANKSTON NORTH","19","101","7.2","2006","175500","house"
"276","FRANKSTON SOUTH","10","94","6.9","2006","353000","house"
"277","FRASER RIDGE","2","NA","NA","2006","NA","house"
"278","FRASER RISE","8","NA","NA","2006","NA","house"
"279","GARDEN CITY","8","129","8.7","2006","622500","house"
"280","GARFIELD","10","70","5.5","2006","238000","house"
"281","GEELONG","-5","81","6.1","2006","318000","house"
"282","GEELONG WEST","11","108","7.6","2006","261500","house"
"283","GEMBROOK","22","110","7.7","2006","255000","house"
"284","GISBORNE","15","127","8.5","2006","280000","house"
"285","GLADSTONE PARK","14","94","6.9","2006","270500","house"
"286","GLEN HUNTLY","4","180","10.8","2006","502500","house"
"287","GLEN IRIS","6","141","9.2","2006","790000","house"
"288","GLEN WAVERLEY","-1","168","10.3","2006","450500","house"
"289","GLENGARRY","-3","36","3.1","2006","204000","house"
"290","GLENROWAN","21","11","1.0","2006","246500","house"
"291","GLENROY","5","111","7.7","2006","280000","house"
"292","GOLDEN BEACH","18","34","3.0","2006","158500","house"
"293","GOLDEN POINT (BALLARAT)","14","57","4.6","2006","187500","house"
"294","GOLDEN SQUARE","3","56","4.6","2006","201500","house"
"295","GORDON","-5","49","4.0","2006","190000","house"
"296","GOUGHS BAY","-11","27","2.4","2006","185000","house"
"297","GOWANBRAE","8","72","5.6","2006","360000","house"
"298","GRANTVILLE","6","47","3.9","2006","180000","house"
"299","GREEN LAKE","8","88","6.5","2006","162500","house"
"300","GREENSBOROUGH","13","102","7.3","2006","357000","house"
"301","GREENVALE","9","38","3.2","2006","400000","house"
"302","GROVEDALE","8","57","4.6","2006","253000","house"
"303","HADFIELD","12","118","8.1","2006","283000","house"
"304","HALLAM","7","87","6.5","2006","243000","house"
"305","HALLS GAP","11","5","0.5","2006","260000","house"
"306","HAMILTON","8","11","1.0","2006","195000","house"
"307","HAMLYN HEIGHTS","8","80","6.1","2006","228500","house"
"308","HAMPTON","8","107","7.5","2006","855000","house"
"309","HAMPTON EAST","17","146","9.4","2006","485000","house"
"310","HAMPTON PARK","11","86","6.4","2006","220500","house"
"311","HARKAWAY","19","108","7.6","2006","315000","house"
"312","HARKNESS","4","52","4.3","2006","240000","house"
"313","HASTINGS","10","78","5.9","2006","225000","house"
"314","HASTINGS WEST","13","99","7.1","2006","170000","house"
"315","HAWTHORN","17","161","10.0","2006","867500","house"
"316","HAWTHORN EAST","-3","117","8.0","2006","841500","house"
"317","HEALESVILLE","2","82","6.2","2006","250000","house"
"318","HEATHCOTE","13","66","5.2","2006","163500","house"
"319","HEATHERTON","10","87","6.4","2006","453000","house"
"320","HEATHMONT","5","139","9.1","2006","333000","house"
"321","HEIDELBERG","9","137","9.0","2006","485000","house"
"322","HEIDELBERG HEIGHTS","7","120","8.2","2006","330000","house"
"323","HEIDELBERG WEST","9","142","9.3","2006","260000","house"
"324","HEPBURN","-5","69","5.4","2006","222500","house"
"325","HEPBURN SPRINGS","11","67","5.3","2006","250000","house"
"326","HERNE HILL","8","80","6.1","2006","222500","house"
"327","HEYFIELD","7","51","4.2","2006","129000","house"
"328","HEYWOOD","-5","2","0.2","2006","162500","house"
"329","HIGHETT","17","154","9.8","2006","457000","house"
"330","HIGHTON","10","63","5.0","2006","340000","house"
"331","HILLSIDE (MELTON)","12","86","6.4","2006","282000","house"
"332","HOPETOUN","7","5","0.4","2006","76500","house"
"333","HOPPERS CROSSING","14","84","6.3","2006","225000","house"
"334","HORSHAM","2","44","3.7","2006","170000","house"
"335","HUGHESDALE","5","153","9.7","2006","484000","house"
"336","HUNTINGDALE","10","149","9.5","2006","370000","house"
"337","HUNTLY","-4","42","3.5","2006","242000","house"
"338","HURSTBRIDGE","11","84","6.3","2006","332000","house"
"339","INDENTED HEAD","10","63","5.0","2006","258000","house"
"340","INGLEWOOD","-24","53","4.3","2006","100000","house"
"341","INVERLEIGH","4","103","7.3","2006","182500","house"
"342","INVERLOCH","4","51","4.2","2006","292500","house"
"343","INVERMAY PARK","-7","26","2.3","2006","297500","house"
"344","IRONBARK","12","83","6.2","2006","195000","house"
"345","IRYMPLE","-1","20","1.9","2006","220000","house"
"346","IVANHOE","9","135","8.9","2006","595000","house"
"347","IVANHOE EAST","15","126","8.5","2006","782000","house"
"348","JACANA","12","96","7.0","2006","214000","house"
"349","JACKASS FLAT","-2","73","5.6","2006","200000","house"
"350","JAMIESON","-15","20","1.8","2006","183500","house"
"351","JAN JUC","16","100","7.2","2006","358000","house"
"352","JEERALANG NORTH","-20","17","1.6","2006","120000","house"
"353","JEPARIT","44","73","5.7","2006","74000","house"
"354","JOLIMONT","45","54","4.4","2006","2108000","house"
"355","JUNCTION VILLAGE","5","95","6.9","2006","200000","house"
"356","JUNORTOUN","17","89","6.6","2006","259000","house"
"357","KALIMNA","-10","29","2.5","2006","210000","house"
"358","KALLISTA","9","80","6.1","2006","315000","house"
"359","KALORAMA","5","80","6.1","2006","290000","house"
"360","KANGAROO FLAT","-1","36","3.2","2006","220000","house"
"361","KANGAROO GROUND SOUTH","3","60","4.8","2006","418000","house"
"362","KANIVA","18","31","2.7","2006","90000","house"
"363","KEALBA","18","97","7.0","2006","238000","house"
"364","KEILOR","17","110","7.7","2006","390000","house"
"365","KEILOR DOWNS","13","103","7.3","2006","277000","house"
"366","KEILOR EAST","13","118","8.1","2006","330000","house"
"367","KEILOR LODGE","9","90","6.6","2006","320500","house"
"368","KEILOR PARK","10","102","7.3","2006","308000","house"
"369","KENNINGTON","4","52","4.3","2006","230000","house"
"370","KENSINGTON","10","107","7.6","2006","437000","house"
"371","KERANG","9","5","0.5","2006","157500","house"
"372","KEW","9","157","9.9","2006","870500","house"
"373","KEW EAST","-3","143","9.3","2006","641500","house"
"374","KEW NORTH","8","148","9.5","2006","722500","house"
"375","KEYSBOROUGH","18","140","9.1","2006","275000","house"
"376","KIALLA","1","13","1.2","2006","330000","house"
"377","KILCUNDA","21","62","4.9","2006","300000","house"
"378","KILLARA (WODONGA)","18","79","6.0","2006","237000","house"
"379","KILMORE","-1","29","2.6","2006","258000","house"
"380","KILSYTH","12","120","8.2","2006","280000","house"
"381","KILSYTH SOUTH","9","92","6.7","2006","385000","house"
"382","KINGLAKE","3","68","5.3","2006","209000","house"
"383","KINGS PARK","17","95","6.9","2006","213000","house"
"384","KINGSBURY","9","109","7.6","2006","292500","house"
"385","KINGSVILLE","16","132","8.8","2006","391000","house"
"386","KNOXFIELD","6","143","9.3","2006","300000","house"
"387","KOO WEE RUP","16","83","6.3","2006","218000","house"
"388","KOONDROOK","-17","15","1.4","2006","143000","house"
"389","KOOYONG","-19","101","7.2","2006","1375000","house"
"390","KOROIT","1","40","3.4","2006","210000","house"
"391","KORUMBURRA","-3","36","3.2","2006","187000","house"
"392","KURUNJANG","7","51","4.2","2006","205000","house"
"393","KYABRAM","-3","25","2.3","2006","187000","house"
"394","KYNETON","7","112","7.8","2006","215000","house"
"395","LAKE BOGA","-10","69","5.4","2006","130000","house"
"396","LAKE GARDENS","4","55","4.5","2006","310000","house"
"397","LAKE TYERS BEACH","-17","17","1.6","2006","228500","house"
"398","LAKE WENDOUREE","-1","89","6.6","2006","360500","house"
"399","LAKES ENTRANCE","10","14","1.3","2006","245000","house"
"400","LALOR","12","99","7.1","2006","250000","house"
"401","LANCEFIELD","0","51","4.2","2006","238000","house"
"402","LANG LANG","14","78","6.0","2006","202000","house"
"403","LANGWARRIN","12","87","6.5","2006","269000","house"
"404","LARA","2","42","3.6","2006","250000","house"
"405","LARA LAKE","5","44","3.7","2006","275000","house"
"406","LAUNCHING PLACE","19","85","6.3","2006","235500","house"
"407","LAVERTON","14","132","8.8","2006","185000","house"
"408","LAVERTON SOUTH","17","95","6.9","2006","270000","house"
"409","LENEVA","2","11","1.0","2006","339000","house"
"410","LEONGATHA","1","30","2.6","2006","237000","house"
"411","LEOPOLD","12","55","4.5","2006","262500","house"
"412","LILYDALE","19","94","6.8","2006","328000","house"
"413","LINDENOW","0","18","1.6","2006","180000","house"
"414","LINTON","33","16","1.5","2006","174000","house"
"415","LISMORE","23","20","1.8","2006","118000","house"
"416","LOCH SPORT","23","15","1.4","2006","155000","house"
"417","LONG GULLY","-3","37","3.2","2006","173500","house"
"418","LONGWARRY","6","97","7.0","2006","167500","house"
"419","LORNE","-16","9","0.8","2006","695000","house"
"420","LOVELY BANKS","21","55","4.5","2006","303500","house"
"421","LOWER PLENTY","18","120","8.2","2006","411000","house"
"422","LUCAS","-10","NA","NA","2006","NA","house"
"423","LUCKNOW","1","12","1.1","2006","208000","house"
"424","LYNBROOK","9","78","5.9","2006","307000","house"
"425","LYNDHURST","7","82","6.2","2006","321500","house"
"426","LYSTERFIELD","8","112","7.8","2006","398000","house"
"427","LYSTERFIELD SOUTH","22","125","8.5","2006","550000","house"
"428","MACEDON","10","94","6.9","2006","305000","house"
"429","MACLEOD","13","145","9.4","2006","351500","house"
"430","MADDINGLEY","5","58","4.7","2006","218500","house"
"431","MAFFRA","12","58","4.7","2006","163000","house"
"432","MAIDEN GULLY","11","71","5.5","2006","280000","house"
"433","MAIDSTONE","7","122","8.3","2006","304000","house"
"434","MALDON","16","65","5.1","2006","240000","house"
"435","MALLACOOTA","14","26","2.3","2006","260000","house"
"436","MALMSBURY","-13","70","5.4","2006","202500","house"
"437","MALVERN","3","124","8.4","2006","1028000","house"
"438","MALVERN EAST","8","145","9.4","2006","706000","house"
"439","MANIFOLD HEIGHTS","27","96","7.0","2006","316000","house"
"440","MANOR LAKES","8","48","4.0","2006","282000","house"
"441","MANSFIELD","1","54","4.4","2006","236000","house"
"442","MARENGO","4","53","4.4","2006","391500","house"
"443","MARIBYRNONG","12","108","7.6","2006","449000","house"
"444","MARLO","-10","26","2.3","2006","240000","house"
"445","MARONG","-9","37","3.2","2006","241500","house"
"446","MARSHALL","6","58","4.7","2006","252500","house"
"447","MARYBOROUGH","9","49","4.0","2006","140000","house"
"448","MCCRAE","15","91","6.7","2006","360000","house"
"449","MCKENZIE HILL","8","55","4.5","2006","300000","house"
"450","MCKINNON","13","165","10.2","2006","634500","house"
"451","MEADOW HEIGHTS","6","59","4.7","2006","233000","house"
"452","MELTON","10","60","4.8","2006","175000","house"
"453","MELTON SOUTH","7","63","5.0","2006","170000","house"
"454","MELTON WEST","12","52","4.3","2006","220000","house"
"455","MENTONE","0","87","6.5","2006","512500","house"
"456","MENZIES CREEK","3","88","6.5","2006","317000","house"
"457","MERBEIN","-6","17","1.6","2006","145000","house"
"458","MERINDA PARK","12","96","7.0","2006","196500","house"
"459","MERNDA","5","39","3.4","2006","309000","house"
"460","MERRICKS BEACH","-4","37","3.2","2006","590000","house"
"461","MERRIJIG (MANSFIELD)","15","43","3.7","2006","235000","house"
"462","METUNG","20","38","3.3","2006","260000","house"
"463","MICKLEHAM","18","NA","NA","2006","NA","house"
"464","MIDDLE PARK","-7","140","9.1","2006","900000","house"
"465","MILDURA","3","30","2.7","2006","200000","house"
"466","MILL PARK","16","98","7.0","2006","282500","house"
"467","MILLGROVE","7","69","5.4","2006","174000","house"
"468","MINERS REST","-1","32","2.8","2006","252000","house"
"469","MINYIP","-15","21","1.9","2006","66000","house"
"470","MIRBOO NORTH","7","71","5.5","2006","164500","house"
"471","MITCHAM","6","159","10.0","2006","365000","house"
"472","MITCHELL PARK","0","39","3.3","2006","188500","house"
"473","MOE","6","39","3.3","2006","125000","house"
"474","MOGGS CREEK","15","87","6.5","2006","410000","house"
"475","MONBULK","10","96","7.0","2006","264000","house"
"476","MONT ALBERT","3","172","10.5","2006","706500","house"
"477","MONT ALBERT NORTH","5","178","10.8","2006","522500","house"
"478","MONTMORENCY","7","118","8.1","2006","358500","house"
"479","MONTROSE","12","115","8.0","2006","290500","house"
"480","MOONEE PONDS","8","109","7.6","2006","525000","house"
"481","MOORABBIN","14","124","8.4","2006","435000","house"
"482","MOOROOLBARK","11","116","8.0","2006","287500","house"
"483","MOOROOPNA","-5","4","0.4","2006","210000","house"
